,,,,,,,,,,,,,
Место,Бр.,Бр.,Регистарски број,Датум на решение,Назив на производителот на вино,Адреса на седиштето на производителот на вино,Адреса на главниот преработувачки капацитет,Капацитет за прием и преработка на грозје (тони),Површини под сопствени лозови насади(ха),Вкупна површина под лозови насади од постојани коперанти (во хектари),"Капацитет на опремата за пакување на
виното(во број на
шишиња на ден)",Телефон,факс
Битола,1,1,Уп I бр.29-753/15,02.06.2015,"ДПТУ ""КАРАЧИ увоз-извоз с.Сопотница Демир Хисар ДООЕЛ""
с. Сопотница Демир Хисар",с. Сопотница Демир Хисар,"ул.8 ми Септември бр.2/Б Горно Оризар, Битола",9000,/,70,69000,,
Богданци,2,1,29-12114/3,06.02.2012,"ДПТУУ ""ДЕХРИ"" ДООЕЛ",Ул.Маршал Тито бр.86,"Заобиколен пат ББ
Богданци",50,2,/,/,034/223-220,034/223-220
Валандово,3,1,"29-5547/2
29-16049/3
16-930/17","15.05.2012
21.08.2013
13.07.2017","ДПTУ ""ВИЗБА ВАЛАНДОВО"" ДООЕЛ",ул.Никола Карев бр.6 Валандово,,15000,"484
вински сорти",30,12000,,
Велес,4,1,08-5885/2,08.07.2011,"ДПТУ ""ММ ИНВЕСТМЕНТ"" ДОО
Подружница Винарска визба Лозар Велес",Народен Фронт бр.5-3/1 Скопје,Скопски пат бб Велес,80т/ч,/,/,50000,"02-3115-600
043-212-620",02-3115-600
,5,2,08-5986/3,23.08.2011,"ДОО ""АГРО НИКОЛОВ""",ул.4 Јули бр.1 Велес,Скопски пат бб Велес,150,"4,6",/,/,043/221-540,043/231-911
,6,3,29 - 6265/5,29.08.2011,"""Тристо Винарија"" ДООЕЛ","с. Сујаклари, Велес",,"0,6т/ч","3,1",/,600,,
,7,4,29-2911/2,20.03.2012,Винарска визба „Велвин„ДООЕЛ,"ул.Васил Главинов бр.87,Велес",,10,/,/,/,,
,8,5,29-13335/2,22.05.2013,"ДПТУ Шато Сопот ДОО, Скопје","ул. Населено место без уличен
систем бр.2, Новачани, Велес",КП 563 Новачани,70,105,/,5000,/,/
,9,6,29-6501/2,07.07.2011,"ДПТУ""Изворно"" ДООЕЛ","с.Долно Врановци, Чашка",,50,/,2,/,,
Гевгелија,10,1,08-5874/2,19.07.2011,"""РИГО ИМПЕКС"" ДОО-Скопје,","ул. Наум Наумовски Борче бр. 40, Скопје","ул.Нова бб Мрзенски рид-
Гевгелија",20000,120,700,/,"034/214-094
02-3290-244",02/3111-773
,,,,,,,"Падарница, с. Дедели,
Валандово",4000,,300,,,
,11,2,08-5713/2,05.07.2011,"ДПТУ""КЕРЕМ""ДОО",ул.4јули бр.12 Гевгелија,,20,"15,6",/,2000,,
